source_id,target_id,weight,layer
1,4,1.0,1
1,33,1.0,1
1,34,1.0,1
1,53,1.0,1
1,55,1.0,1
1,81,1.0,1
1,84,1.0,1
1,85,1.0,1
1,86,1.0,1
1,88,1.0,1
2,3,1.0,1
2,4,1.0,1
2,24,1.0,1
2,55,1.0,1
2,56,1.0,1
2,74,1.0,1
2,75,1.0,1
2,76,1.0,1
2,81,1.0,1
2,88,1.0,1
2,89,1.0,1
2,96,1.0,1
2,97,1.0,1
2,102,1.0,1
2,133,1.0,1
3,4,1.0,1
3,24,1.0,1
3,37,1.0,1
3,39,1.0,1
3,53,1.0,1
3,54,1.0,1
3,55,1.0,1
3,56,1.0,1
3,73,1.0,1
3,74,1.0,1
3,75,1.0,1
3,76,1.0,1
3,88,1.0,1
3,89,1.0,1
4,12,1.0,1
4,21,1.0,1
4,22,1.0,1
4,24,1.0,1
4,26,1.0,1
4,37,1.0,1
4,67,1.0,1
4,68,1.0,1
4,73,1.0,1
4,74,1.0,1
4,75,1.0,1
4,76,1.0,1
4,85,1.0,1
4,86,1.0,1
4,87,1.0,1
4,88,1.0,1
4,89,1.0,1
5,6,1.0,1
5,7,1.0,1
5,13,1.0,1
5,17,1.0,1
5,19,1.0,1
5,21,1.0,1
5,22,1.0,1
5,27,1.0,1
5,29,1.0,1
5,35,1.0,1
5,36,1.0,1
5,38,1.0,1
5,44,1.0,1
5,45,1.0,1
5,46,1.0,1
5,48,1.0,1
5,50,1.0,1
5,52,1.0,1
5,54,1.0,1
5,56,1.0,1
5,58,1.0,1
5,59,1.0,1
5,60,1.0,1
5,64,1.0,1
5,65,1.0,1
5,66,1.0,1
5,67,1.0,1
5,68,1.0,1
5,69,1.0,1
5,70,1.0,1
5,71,1.0,1
5,72,1.0,1
5,74,1.0,1
5,77,1.0,1
5,78,1.0,1
5,82,1.0,1
5,83,1.0,1
5,103,1.0,1
5,104,1.0,1
5,110,1.0,1
5,111,1.0,1
5,112,1.0,1
5,113,1.0,1
5,114,1.0,1
5,117,1.0,1
5,118,1.0,1
5,147,1.0,1
5,151,1.0,1
5,152,1.0,1
5,160,1.0,1
6,7,1.0,1
6,13,1.0,1
6,17,1.0,1
6,19,1.0,1
6,21,1.0,1
6,22,1.0,1
6,27,1.0,1
6,29,1.0,1
6,35,1.0,1
6,36,1.0,1
6,38,1.0,1
6,44,1.0,1
6,45,1.0,1
6,46,1.0,1
6,47,1.0,1
6,48,1.0,1
6,52,1.0,1
6,54,1.0,1
6,58,1.0,1
6,59,1.0,1
6,64,1.0,1
6,65,1.0,1
6,66,1.0,1
6,67,1.0,1
6,68,1.0,1
6,69,1.0,1
6,70,1.0,1
6,71,1.0,1
6,72,1.0,1
6,74,1.0,1
6,77,1.0,1
6,78,1.0,1
6,82,1.0,1
6,83,1.0,1
6,103,1.0,1
6,104,1.0,1
6,110,1.0,1
6,111,1.0,1
6,112,1.0,1
6,113,1.0,1
6,114,1.0,1
6,116,1.0,1
6,117,1.0,1
6,118,1.0,1
6,147,1.0,1
6,151,1.0,1
6,152,1.0,1
6,160,1.0,1
7,10,1.0,1
7,11,1.0,1
7,13,1.0,1
7,17,1.0,1
7,19,1.0,1
7,21,1.0,1
7,22,1.0,1
7,29,1.0,1
7,35,1.0,1
7,36,1.0,1
7,37,1.0,1
7,38,1.0,1
7,45,1.0,1
7,46,1.0,1
7,50,1.0,1
7,54,1.0,1
7,58,1.0,1
7,60,1.0,1
7,62,1.0,1
7,63,1.0,1
7,64,1.0,1
7,65,1.0,1
7,66,1.0,1
7,67,1.0,1
7,68,1.0,1
7,69,1.0,1
7,70,1.0,1
7,71,1.0,1
7,72,1.0,1
7,74,1.0,1
7,75,1.0,1
7,76,1.0,1
7,77,1.0,1
7,78,1.0,1
7,82,1.0,1
7,83,1.0,1
7,103,1.0,1
7,104,1.0,1
7,105,1.0,1
7,110,1.0,1
7,111,1.0,1
7,112,1.0,1
7,113,1.0,1
7,147,1.0,1
7,151,1.0,1
7,152,1.0,1
7,160,1.0,1
8,9,1.0,1
8,10,1.0,1
8,11,1.0,1
8,68,1.0,1
8,76,1.0,1
8,77,1.0,1
8,78,1.0,1
8,79,1.0,1
8,80,1.0,1
8,90,1.0,1
8,91,1.0,1
8,98,1.0,1
8,99,1.0,1
8,104,1.0,1
8,105,1.0,1
8,106,1.0,1
8,107,1.0,1
8,120,1.0,1
8,121,1.0,1
8,122,1.0,1
8,123,1.0,1
8,148,1.0,1
8,161,1.0,1
9,10,1.0,1
9,11,1.0,1
9,77,1.0,1
9,78,1.0,1
9,79,1.0,1
9,80,1.0,1
9,98,1.0,1
9,99,1.0,1
9,104,1.0,1
9,105,1.0,1
9,106,1.0,1
9,107,1.0,1
9,122,1.0,1
9,123,1.0,1
9,124,1.0,1
9,125,1.0,1
9,148,1.0,1
9,155,1.0,1
10,11,1.0,1
10,21,1.0,1
10,22,1.0,1
10,35,1.0,1
10,45,1.0,1
10,63,1.0,1
10,64,1.0,1
10,65,1.0,1
10,66,1.0,1
10,67,1.0,1
10,68,1.0,1
10,69,1.0,1
10,70,1.0,1
10,75,1.0,1
10,76,1.0,1
10,77,1.0,1
10,78,1.0,1
10,80,1.0,1
10,82,1.0,1
10,83,1.0,1
10,90,1.0,1
10,91,1.0,1
10,98,1.0,1
10,99,1.0,1
10,104,1.0,1
10,105,1.0,1
10,106,1.0,1
10,107,1.0,1
10,112,1.0,1
10,121,1.0,1
10,122,1.0,1
10,123,1.0,1
10,147,1.0,1
10,148,1.0,1
10,151,1.0,1
11,21,1.0,1
11,22,1.0,1
11,35,1.0,1
11,45,1.0,1
11,46,1.0,1
11,54,1.0,1
11,63,1.0,1
11,64,1.0,1
11,65,1.0,1
