source_id,target_id,weight,layer
1,2,1.0,1
1,3,1.0,1
1,4,1.0,1
1,23,1.0,1
1,34,1.0,1
1,38,1.0,1
1,40,1.0,1
1,53,1.0,1
1,54,1.0,1
1,55,1.0,1
1,56,1.0,1
1,71,1.0,1
1,74,1.0,1
1,76,1.0,1
1,81,1.0,1
1,84,1.0,1
1,85,1.0,1
1,86,1.0,1
1,88,1.0,1
1,89,1.0,1
1,93,1.0,1
1,96,1.0,1
1,132,1.0,1
1,133,1.0,1
1,142,1.0,1
2,3,1.0,1
2,4,1.0,1
2,38,1.0,1
2,40,1.0,1
2,53,1.0,1
2,54,1.0,1
2,55,1.0,1
2,56,1.0,1
2,58,1.0,1
2,64,1.0,1
2,74,1.0,1
2,76,1.0,1
2,81,1.0,1
2,84,1.0,1
2,86,1.0,1
2,88,1.0,1
2,89,1.0,1
2,96,1.0,1
2,97,1.0,1
2,103,1.0,1
2,132,1.0,1
2,133,1.0,1
3,4,1.0,1
3,13,1.0,1
3,24,1.0,1
3,25,1.0,1
3,26,1.0,1
3,40,1.0,1
3,53,1.0,1
3,55,1.0,1
3,73,1.0,1
3,74,1.0,1
3,75,1.0,1
3,76,1.0,1
3,81,1.0,1
3,83,1.0,1
3,88,1.0,1
3,89,1.0,1
3,109,1.0,1
3,111,1.0,1
3,112,1.0,1
4,9,1.0,1
4,21,1.0,1
4,24,1.0,1
4,26,1.0,1
4,33,1.0,1
4,34,1.0,1
4,40,1.0,1
4,53,1.0,1
4,55,1.0,1
4,61,1.0,1
4,68,1.0,1
4,73,1.0,1
4,74,1.0,1
4,75,1.0,1
4,76,1.0,1
4,77,1.0,1
4,81,1.0,1
4,85,1.0,1
4,86,1.0,1
4,87,1.0,1
4,88,1.0,1
4,89,1.0,1
4,105,1.0,1
4,132,1.0,1
5,6,1.0,1
5,7,1.0,1
5,19,1.0,1
5,21,1.0,1
5,22,1.0,1
5,29,1.0,1
5,30,1.0,1
5,35,1.0,1
5,36,1.0,1
5,43,1.0,1
5,44,1.0,1
5,45,1.0,1
5,46,1.0,1
5,47,1.0,1
5,48,1.0,1
5,49,1.0,1
5,50,1.0,1
5,51,1.0,1
5,52,1.0,1
5,57,1.0,1
5,59,1.0,1
5,65,1.0,1
5,66,1.0,1
5,67,1.0,1
5,68,1.0,1
5,69,1.0,1
5,70,1.0,1
5,71,1.0,1
5,72,1.0,1
5,83,1.0,1
5,102,1.0,1
5,103,1.0,1
5,104,1.0,1
5,109,1.0,1
5,110,1.0,1
5,111,1.0,1
5,112,1.0,1
5,113,1.0,1
5,114,1.0,1
5,115,1.0,1
5,116,1.0,1
5,117,1.0,1
5,118,1.0,1
5,119,1.0,1
5,124,1.0,1
5,128,1.0,1
5,129,1.0,1
6,7,1.0,1
6,21,1.0,1
6,22,1.0,1
6,29,1.0,1
6,30,1.0,1
6,35,1.0,1
6,36,1.0,1
6,43,1.0,1
6,44,1.0,1
6,45,1.0,1
6,46,1.0,1
6,47,1.0,1
6,48,1.0,1
6,49,1.0,1
6,51,1.0,1
6,52,1.0,1
6,57,1.0,1
6,59,1.0,1
6,65,1.0,1
6,66,1.0,1
6,67,1.0,1
6,69,1.0,1
6,71,1.0,1
6,72,1.0,1
6,77,1.0,1
6,82,1.0,1
6,102,1.0,1
6,103,1.0,1
6,104,1.0,1
6,109,1.0,1
6,110,1.0,1
6,111,1.0,1
6,112,1.0,1
6,113,1.0,1
6,114,1.0,1
6,115,1.0,1
6,116,1.0,1
6,117,1.0,1
6,118,1.0,1
6,119,1.0,1
6,124,1.0,1
6,128,1.0,1
6,129,1.0,1
6,134,1.0,1
6,135,1.0,1
6,147,1.0,1
7,19,1.0,1
7,21,1.0,1
7,22,1.0,1
7,45,1.0,1
7,46,1.0,1
7,51,1.0,1
7,52,1.0,1
7,65,1.0,1
7,66,1.0,1
7,67,1.0,1
7,68,1.0,1
7,69,1.0,1
7,76,1.0,1
7,77,1.0,1
7,78,1.0,1
7,79,1.0,1
7,80,1.0,1
7,82,1.0,1
7,83,1.0,1
7,98,1.0,1
7,110,1.0,1
7,111,1.0,1
7,120,1.0,1
7,129,1.0,1
7,132,1.0,1
8,9,1.0,1
8,10,1.0,1
8,11,1.0,1
8,12,1.0,1
8,20,1.0,1
8,36,1.0,1
8,75,1.0,1
8,77,1.0,1
8,78,1.0,1
8,79,1.0,1
8,80,1.0,1
8,87,1.0,1
8,89,1.0,1
8,90,1.0,1
8,91,1.0,1
8,98,1.0,1
8,99,1.0,1
8,104,1.0,1
8,105,1.0,1
8,106,1.0,1
8,107,1.0,1
8,109,1.0,1
8,120,1.0,1
8,121,1.0,1
8,122,1.0,1
8,123,1.0,1
9,10,1.0,1
9,11,1.0,1
9,20,1.0,1
9,49,1.0,1
9,68,1.0,1
9,75,1.0,1
9,77,1.0,1
9,78,1.0,1
9,79,1.0,1
9,80,1.0,1
9,82,1.0,1
9,87,1.0,1
9,88,1.0,1
9,89,1.0,1
9,90,1.0,1
9,91,1.0,1
9,98,1.0,1
9,99,1.0,1
9,104,1.0,1
9,105,1.0,1
9,106,1.0,1
9,107,1.0,1
9,120,1.0,1
9,121,1.0,1
9,122,1.0,1
9,123,1.0,1
9,135,1.0,1
10,11,1.0,1
10,19,1.0,1
10,20,1.0,1
10,21,1.0,1
10,22,1.0,1
10,45,1.0,1
10,49,1.0,1
10,66,1.0,1
10,67,1.0,1
10,68,1.0,1
10,69,1.0,1
10,75,1.0,1
10,76,1.0,1
10,77,1.0,1
10,78,1.0,1
10,79,1.0,1
10,80,1.0,1
10,82,1.0,1
10,83,1.0,1
10,90,1.0,1
10,91,1.0,1
10,98,1.0,1
10,99,1.0,1
10,104,1.0,1
10,105,1.0,1
10,106,1.0,1
10,107,1.0,1
10,114,1.0,1
10,120,1.0,1
10,121,1.0,1
10,122,1.0,1
10,123,1.0,1
11,21,1.0,1
11,22,1.0,1
11,45,1.0,1
11,67,1.0,1
11,68,1.0,1
11,69,1.0,1
11,75,1.0,1
11,76,1.0,1
11,77,1.0,1
11,78,1.0,1
11,79,1.0,1
11,80,1.0,1
11,82,1.0,1
11,90,1.0,1
11,91,1.0,1
11,98,1.0,1
11,99,1.0,1
11,104,1.0,1
11,105,1.0,1
11,106,1.0,1
11,107,1.0,1
11,120,1.0,1
11,121,1.0,1
11,122,1.0,1
11,123,1.0,1
12,13,1.0,1
12,14,1.0,1
12,15,1.0,1
12,16,1.0,1
12,20,1.0,1
12,25,1.0,1
12,26,1.0,1
12,28,1.0,1
12,30,1.0,1
12,33,1.0,1
12,34,1.0,1
12,35,1.0,1
12,36,1.0,1
12,37,1.0,1
12,38,1.0,1
12,39,1.0,1
12,41,1.0,1
12,43,1.0,1
12,44,1.0,1
12,61,1.0,1
12,71,1.0,1
12,73,1.0,1
12,79,1.0,1
12,80,1.0,1
12,85,1.0,1
12,86,1.0,1
12,87,1.0,1
12,90,1.0,1
12,91,1.0,1
12,98,1.0,1
12,99,1.0,1
12,107,1.0,1
12,108,1.0,1
12,109,1.0,1
12,120,1.0,1
12,121,1.0,1
12,127,1.0,1
12,129,1.0,1
12,139,1.0,1
12,148,1.0,1
13,14,1.0,1
13,15,1.0,1
13,16,1.0,1
13,17,1.0,1
13,18,1.0,1
13,20,1.0,1
13,21,1.0,1
13,30,1.0,1
13,35,1.0,1
13,36,1.0,1
13,43,1.0,1
13,69,1.0,1
13,70,1.0,1
13,71,1.0,1
13,72,1.0,1
13,73,1.0,1
13,79,1.0,1
13,81,1.0,1
13,83,1.0,1
13,87,1.0,1
13,99,1.0,1
13,104,1.0,1
13,108,1.0,1
13,109,1.0,1
13,110,1.0,1
13,111,1.0,1
13,112,1.0,1
13,113,1.0,1
